"filename", "language", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "TypeScript React", "CSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\baseModal\BaseModal.tsx", "TypeScript React", 0, 0, 0, 0, 35, 0, 0, 0, 1, 5, 41
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\baseModal\overlay.css", "CSS", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\iconBlank\IconBlank.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\iconBlank\styles.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\icon\Icon.tsx", "TypeScript React", 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\icon\styles.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\loading\Loading.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\loading\styles.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\logo\Logo.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 8, 24
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\logo\styles.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\navbar\Navbar.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\navbar\styles.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\privateRoutes\checkIsLoggedIn\CheckIsLoggedIn.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\privateRoutes\checkUserTeams\CheckUserTeams.tsx", "TypeScript React", 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\sidebar\Sidebar.tsx", "TypeScript React", 0, 0, 0, 0, 50, 0, 0, 0, 0, 10, 60
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\sidebar\components\submenu\Submenu.tsx", "TypeScript React", 0, 0, 0, 0, 62, 0, 0, 0, 0, 7, 69
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\sidebar\data\SidebarData.tsx", "TypeScript React", 0, 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\sidebar\styles.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 0, 0, 0, 11, 96
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\sidebar\types\PositionCoordinates.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\sidebar\types\SidebarItem.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\teamPhotoBlank\TeamPhotoBlank.tsx", "TypeScript React", 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\teamPhotoBlank\styles.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\teamPhoto\TeamPhoto.tsx", "TypeScript React", 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 33
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\components\teamPhoto\styles.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\data\areaSpecializationData.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\data\modalityData.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\area\NewAreaDTO.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\column\ColumnReferencedToAreaDTO.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\column\NewColumnDTO.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\task\NewTaskDTO.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Guilherme\Documents\_Area de trabalho\TCC\tcc-front\src\shared\dtos\task\TaskReferencedToColumnDTO.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
